Date,Actual,Predicted
2023-10-03,19.40999984741211,19.064312
2023-10-04,19.1200008392334,19.089413
2023-10-05,19.38999938964844,19.033337
2023-10-06,18.86000061035156,18.85016
2023-10-09,19.0,18.519384
2023-10-10,19.89999961853028,18.977034
2023-10-11,19.739999771118164,19.196463
2023-10-12,19.979999542236328,19.814863
2023-10-13,17.899999618530273,20.046364
2023-10-16,17.8700008392334,19.07992
2023-10-17,17.549999237060547,17.722757
2023-10-18,17.5,17.441107
2023-10-19,18.09000015258789,17.46408
2023-10-20,17.600000381469727,17.57744
2023-10-23,17.780000686645508,17.702269
2023-10-24,17.75,17.604685
2023-10-25,17.729999542236328,17.63444
2023-10-26,17.690000534057617,17.53313
2023-10-27,17.989999771118164,17.528276
2023-10-30,17.93000030517578,18.05136
2023-10-31,17.920000076293945,17.938461
2023-11-01,17.920000076293945,17.761578
2023-11-02,18.690000534057617,17.940058
2023-11-03,18.14999961853028,18.3898
2023-11-06,18.31999969482422,18.346228
2023-11-07,18.049999237060547,18.12184
2023-11-08,18.030000686645508,18.157373
2023-11-09,18.100000381469727,17.852108
2023-11-10,17.93000030517578,17.893211
2023-11-13,18.82999992370605,17.896734
2023-11-14,18.43000030517578,18.420963
2023-11-15,18.43000030517578,18.85542
2023-11-16,19.8799991607666,18.249645
2023-11-17,19.21999931335449,19.032825
2023-11-20,18.799999237060547,19.360092
2023-11-21,19.09000015258789,18.955154
2023-11-22,19.25,18.898695
2023-11-24,19.670000076293945,19.1548
2023-11-27,19.5,19.237167
2023-11-28,19.299999237060547,19.684849
2023-11-29,19.489999771118164,19.222889
2023-11-30,19.350000381469727,19.243715
2023-12-01,19.63999938964844,19.27001
2023-12-04,19.68000030517578,19.48004
2023-12-05,19.6200008392334,19.841686
2023-12-06,19.36000061035156,19.70718
2023-12-07,19.51000022888184,19.273573
2023-12-08,19.299999237060547,19.352934
2023-12-11,19.350000381469727,19.188162
2023-12-12,19.34000015258789,19.145483
2023-12-13,19.34000015258789,19.186438
2023-12-14,19.600000381469727,19.144262
2023-12-15,19.5,19.29376
2023-12-18,19.739999771118164,19.298634
2023-12-19,19.420000076293945,19.625492
2023-12-20,19.63999938964844,19.491137
2023-12-21,19.84000015258789,19.356302
2023-12-22,20.520000457763672,19.840803
2023-12-26,20.56999969482422,20.220568
2023-12-27,20.43000030517578,20.5013
2023-12-28,20.3799991607666,20.16072
2023-12-29,20.1299991607666,20.123758
2024-01-02,19.940000534057617,19.93764
2024-01-03,20.09000015258789,19.965218
2024-01-04,20.09000015258789,19.900427
2024-01-05,20.299999237060547,19.850267
2024-01-08,20.81999969482422,19.963928
2024-01-09,20.90999984741211,20.162167
2024-01-10,21.1200008392334,20.085144
2024-01-11,21.21999931335449,20.830906
2024-01-12,21.200000762939453,20.861088
2024-01-16,19.96999931335449,20.88431
2024-01-17,20.200000762939453,20.389828
2024-01-18,20.56999969482422,19.93793
2024-01-19,19.65999984741211,19.974346
2024-01-22,19.43000030517578,20.271177
2024-01-23,19.559999465942383,19.47222
2024-01-24,19.479999542236328,19.338861
2024-01-25,19.5,19.203869
2024-01-26,19.520000457763672,19.469639
2024-01-29,19.489999771118164,19.563738
2024-01-30,19.36000061035156,19.70058
2024-01-31,19.729999542236328,19.32856
2024-02-01,19.82999992370605,19.460691
2024-02-02,19.950000762939453,19.761654
2024-02-05,20.63999938964844,20.167547
2024-02-06,21.36000061035156,20.193907
2024-02-07,21.700000762939453,20.920088
2024-02-08,21.1299991607666,21.316303
2024-02-09,19.600000381469727,20.7752
2024-02-12,21.309999465942383,20.247696
2024-02-13,21.5,20.19323
2024-02-14,18.6200008392334,20.741795
2024-02-15,17.56999969482422,19.782969
2024-02-16,17.5,17.508392
2024-02-20,15.989999771118164,17.980412
2024-02-21,15.40999984741211,16.82393
2024-02-22,15.510000228881836,14.906878
2024-02-23,15.329999923706056,15.32607
2024-02-26,15.43000030517578,15.08166
2024-02-27,15.329999923706056,14.934273
2024-02-28,15.199999809265137,14.685209
2024-02-29,14.829999923706056,14.567096
2024-03-01,14.359999656677246,14.711679
2024-03-04,14.369999885559082,14.493129
2024-03-05,14.369999885559082,14.468537
2024-03-06,14.43000030517578,14.67638
2024-03-07,14.369999885559082,14.616501
2024-03-08,14.199999809265137,14.589353
2024-03-11,14.359999656677246,14.590756
2024-03-12,14.670000076293944,14.530876
2024-03-13,14.220000267028809,14.553653
2024-03-14,14.350000381469728,14.633295
